item_type,title,creators,first_name,last_name,ean_isbn13,upc_isbn10,description,publisher,publish_date,group,tags,notes,price,length,number_of_discs,number_of_players,age_group,ensemble,aspect_ratio,esrb,rating,review,review_date,status,began,completed,added,copies
book,"Uncle John's Robotica","Bathroom Readers' Institute Staff",Bathroom,Staff,9781626861763,1626861765,"From the world-wide leader in strange-but-true stories comes a fascinating book full of the marvels of mechanical men, glimpses into tomorrow's technology...and what happens when machines go mad. It's a robot invasion! For more than 25 years, the writers at the Bathroom Readers' Institute have had a soft spot in their hearts for all things robotic. From the promise of artificial intelligence making the world a better place to the threat of an android apocalypse, we never get tired of reading about robots. They perform surgery, traverse the surface of Mars, and even cook a perfect steak...until they malfunction and chase after their human creators. Uncle John's Robotica will stimulate your humor sensors with hundreds of incredible stories about robots from the past, the present...and the future. Prepare to be assimilated as you read about... * Robotic suits...controlled by monkeys * The robot that can rebuild itself * The world's first robot * Pop-culture robots (such as the mecha-Michael Jackson with laser-shooting eyes) * Robotic roaches that herd real cockroaches * Microscopic nanobots that heal you before you know you're sick * Garbage-eating robots * What are the actual chances of a Terminator-style robot war? And much, much more!","Printers Row Publishing Group",2014-09-01,Anthology,"anthology, collection, non-fiction","Gift from Mum",5.00,256,,,,,,,,,,,,,2022-08-06,1
book,"This Is China: The First 5,000 Years (This World of Ours)","Haiwang Yuan",Haiwang,Yuan,9781933782201,193378220X,"This Is China contains, in brief, everything we need to know about 5,000 years of history, 30 years of opening, and a future that promises to shape the 21st century for all of us. Drawn from the vast resources of the Berkshire Encyclopedia of China, this concise 120-page book is recommended for classroom use, curriculum development, and student review. Visit product website: bit.ly/thisischina","Berkshire Publishing",2010-04-15,History,"china, history",,20.00,152,,,,,,,,,,,,,2022-08-06,1
book,"The Anthropocene Reviewed (Signed Edition)","John Green",John,Green,9780525555216,0525555218,"A deeply moving collection of personal essays from John Green, the #1 bestselling author of The Fault in Our Stars and Turtles All the Way Down. ""Every page is full of insight. I loved it."" -Roman Mars, creator and host of 99% Invisible The Anthropocene is the current geologic age, in which humans have profoundly reshaped the planet and its biodiversity. In this remarkable symphony of essays adapted and expanded from his groundbreaking podcast, bestselling author John Green reviews different facets of the human-centered planet on a five-star scale--from the QWERTY keyboard and sunsets to Canada geese and Penguins of Madagascar. Funny, complex, and rich with detail, the reviews chart the contradictions of contemporary humanity. As a species, we are both far too powerful and not nearly powerful enough, a paradox that came into sharp focus as we faced a global pandemic that both separated us and bound us together. John Green's gift for storytelling shines throughout this masterful collection. The Anthropocene Reviewed is a open-hearted exploration of the paths we forge and an unironic celebration of falling in love with the world. This is a signed edition.","Penguin Publishing Group",2021-05-18,history,"history, memoir, non-fiction",,15.00,304,,,,,,,,,,,,,2022-08-06,1
book,"Mark Bittman's Kitchen Matrix: More Than 700 Simple Recipes and Techniques to Mix and Match for Endless Possibilities","Mark Bittman",Mark,Bittman,9780804188012,0804188017,"Bestselling author Mark Bittman anthologizes his popular Matrix series in a boldly graphic new cookbook that emphasizes creativity, improvisation, and simplicity as the keys to varied cooking.For years, Mark Bittman has shared his formulas, recipes, and kitchen improvisations in his popular New York Times Eat column, in which an ingredient or essential technique is presented in different variations in a bold matrix. Accompanied by striking photographs and brief, straightforward instructions, these thematic matrices show how simple changes in preparation and ingredient swaps in a master recipe can yield dishes that are each completely different from the original, and equally delicious. In Mark Bittman’s Kitchen Matrix, Mark’s matrices come together to create a collection of over 400 flexible recipes covering vegetables, fruits, meats and chicken, and even desserts.  Whether you're cooking up soup (creamy, brothy, earthy, or hearty), freezing ice pops (in fruity, savory, creamy, or boozy varieties), or preparing asparagus (steamed, roasted, stir-fried, or grilled), following Mark’s approach to culinary improvisation will deliver stand-out results.  ","Pam Krauss Books",2015-10-27,Cooking,fun,,,304,,,,,,,,,,,,,2022-08-06,1
book,M*A*S*H,"David S. Reiss",David,Reiss,,0672527626,,"Bobbs-Merrill Co., Inc.",1983-01-01,,,,20.00,168,,,,,,,,,,,,,2022-08-06,1
book,"Puzzles in Logic, Languages and Computation: The Red Book (Recreational Linguistics)",,,,9783642343773,3642343775,"&quot;A fantastic collection of problems for anyone who is curious about how human language works!&nbsp; These books take serious scientific questions and present them in a fun, accessible way.&nbsp; Readers exercise their logical thinking capabilities while learning about a wide range of human languages, linguistic phenomena, and computational models.&nbsp;&quot; - Kevin Knight, University of Southern California Information Sciences Institute This book brings together, for the first time in one collection, the best English-language problems created for students competing in the Computational Linguistics Olympiad. These problems are representative of the diverse areas presented in the competition and designed with three principles in mind: &middot;&nbsp; To challenge the student analytically, without requiring any explicit knowledge or experience in linguistics or computer science; &middot;&nbsp; To expose the student to the different kinds of reasoning required when encountering a new phenomenon in a language, both as a theoretical topic and as an applied problem. &middot;&nbsp; To foster the natural curiosity students have about the workings of their own language, as well as to introduce them to the beauty and structure of other languages. Aside from being a fun intellectual challenge, the Olympiad mimics the skills used by researchers and scholars in the field of computational linguistics. In an increasingly global economy where businesses operate across borders and languages, having a strong pool of computational linguists is a competitive advantage, and an important component to both security and growth in the 21st century. This collection of problems is a wonderful general introduction to the field of linguistics through the analytic problem solving technique.",Springer,2013-02-09,,,,,178,,,,,,,,,,,,,2022-08-06,1
book,"Safe and Simple Electrical Experiments (Dover Children's Science Books)","Rudolf F. Graf",Rudolf,Graf,9780486229508,0486229505,"More than 100&nbsp;entertaining projects and experiments are a fast and reliable way of learning basic principles of electricity. For maximum exposure to the fundamentals, three major categories &mdash; static electricity, magnetism, and current electricity and electromagnetism &mdash; are treated separately. No special or expensive materials are required. Detailed instructions and illustrations.","Dover Publications",1973-06-01,Science,"activity, kids, physics, science",,5.00,117,,,,,,,,,,,,,2022-08-06,1
book,"On Food and Cooking: The Science and Lore of the Kitchen","Harold McGee",Harold,McGee,9780684800011,0684800012,"Harold McGee's On Food and Cooking is a kitchen classic. Hailed by Time magazine as ""a minor masterpiece"" when it first appeared in 1984, On Food and Cooking is the bible to which food lovers and professional chefs worldwide turn for an understanding of where our foods come from, what exactly they're made of, and how cooking transforms them into something new and delicious. Now, for its twentieth anniversary, Harold McGee has prepared a new, fully revised and updated edition of On Food and Cooking. He has rewritten the text almost completely, expanded it by two-thirds, and commissioned more than 100 new illustrations. As compulsively readable and engaging as ever, the new On Food and Cooking provides countless eye-opening insights into food, its preparation, and its enjoyment. On Food and Cooking pioneered the translation of technical food science into cook-friendly kitchen science and helped give birth to the inventive culinary movement known as ""molecular gastronomy."" Though other books have now been written about kitchen science, On Food and Cooking remains unmatched in the accuracy, clarity, and thoroughness of its explanations, and the intriguing way in which it blends science with the historical evolution of foods and cooking techniques. Among the major themes addressed throughout this new edition are: Traditional and modern methods of food production and their influences on food quality The great diversity of methods by which people in different places and times have prepared the same ingredients Tips for selecting the best ingredients and preparing them successfully The particular substances that give foods their flavors and that give us pleasure Our evolving knowledge of the health benefits and risks of foods On Food and Cooking is an invaluable and monumental compendium of basic information about ingredients, cooking methods, and the pleasures of eating. It will delight and fascinate anyone who has ever cooked, savored, or wondered about food.",Scribner,2004-11-16,Cooking,info,,23.48,896,,,,,,,,,,,,,2021-05-21,1
book,"Physics: Principles With Application","Douglas G. Giancoli",Douglas,Giancoli,9780131021532,0131021532,"A textbook for a one-year introductory course in physics that uses algebra and trigonometry but not calculus. It contains a wide range of applications to biology, (pre)medicine, architecture, technology, earth and environmental sciences, and other fields. This revised edition (third was 1991) adds s","Prentice Hall College Div",1995-04-01,Science,"physics, reference, science, textbook","Received as a gift",15.00,1020,,,,,,,,,,,,,2015-05-24,1
book,Chemistry,"Steven S. Zumdahl, Susan A. Zumdahl",Steven,Zumdahl,9780618265053,0618265058,,"CENGAGE Learning",2003-01-01,Science,"chemistry, reference, science, textbook","6th edition (2005), outdated by 11th edition.",10.00,,,,,,,,,,,,,,2022-08-06,1
book,"Integrated Korean: Beginning 1, 2nd Edition","Young-Mee Cho, Hyo Sang Lee, Carol Schulz, Ho-Min Sohn, Sung-Ock Sohn",Young-Mee,Cho,9780824834401,0824834402,"The Beginning Level texts and workbooks are the first of a four- level series (Beginning 1 and 2, Intermediate 1 and 2, Advanced Intermediate, and Advanced) developed collaboratively by leading classroom teachers and linguists of Korean. All series volumes have been developed in accordance with performance-based principles and methodology-learner-centeredness, contextualization, use of authentic materials, function/task-orientedness, balance between skill getting and skill using, and integration of speaking, listening, reading, writing, and culture. Grammar points are systematically introduced with simple but adequate explanations and abundant examples, exercises, and drills. Each situation/topic-based lesson of the main texts consists of two or three model dialogues, narration, new words and expressions, pronunciation notes, vocabulary notes, culture, grammar, task/function, and English translation of dialogues. The workbooks provide students with extensive skill-using activities based on the skills learned from the main texts. Integrated Korean is a project of the Korean Language Education and Research Center (KLEAR) with the support of the Korea Foundation. In addition to the four-level textbooks and workbooks, forthcoming volumes include instructor's manuals, Chinese Character Studies, Korean Composition, Selected Readings in Korean, Readings in Modern Korean Literature, Korean Language in Culture and Society, and A Dictionary of Korean Grammar and Usage.","Univ of Hawaii Pr",2009-11-30,Language,"korean, language, textbook","Outdated by 3rd edition 92020).",10.00,218,,,,,,,,,,,,,2022-08-06,1
book,"Kanji for International Students 留学生のための漢字の教科書 上級1000[改訂版]","佐藤 尚子, 佐々木 仁子",佐藤,尚子,9784336063021,4336063028,"◎日本語能力試験N1/日本留学試験レベル◎

非漢字圏学習者に人気の漢字教材改訂版。
上級レベルに必要な漢字と読み、語彙を厳選してあるため、レベルにあった無理のない学習が可能です。またすべての漢字の筆順も掲載してあり、自習にも便利です。練習問題は文法なども一緒に復習できよう、さまざまな問題を収録しています。上級では、日常生活でよく見る書類や資料を使用して、実戦的な学習ができるようになっています。",国書刊行会,,language,"japanese, language, textbook",,20.00,,,,,,,,,,,,,,2022-08-06,1
book,"Kanji for International Students 留学生のための漢字の教科書 中級700[改訂版]","佐藤尚子, 佐々木仁子",佐藤尚子,佐藤尚子,9784336061362,433606136X,"◎日本語能力試験N2~N3レベル◎

非漢字圏学習者に人気の漢字教材!
中級レベルに必要な漢字と読み、語彙を厳選してあるため、レベルにあった無理のない学習が可能です。
またすべての漢字の筆順も掲載してあり、自習にも便利です。
練習問題は文法なども一緒に復習できよう、さまざまな問題を収録しています。

【改訂のポイント】 ※2017年に改訂しました
漢字・語彙の意味にインドネシア語、ベトナム語(漢越語)翻訳が加わり、より使いやすくなりました。
語彙索引がつきました。
掲載している漢字・語彙・練習問題に変更はありません。

**********************
授業用補助教材を用意しています。
〈1〉 「授業用漢字カード」
中級の漢字700字がPDFデータになっています。プリントアウトをして教室で提示していただいたり、フラッシュカードのようにお使いいただけます。
〈2〉 「漢字書き取りプリント」
中級の漢字700字の書き取り練習用のプリントです",国書刊行会,,Japanese,"japanese, language, textbook","Part of a series of three books.",15.00,,,,,,,,,,,,,,2022-08-06,1
book,"Tobira Grammar Power: Exercises for Mastery","Michio Tsutsui",Michio,Tsutsui,9784874245705,4874245706,"Grammar workbook companion to the Tobira Gateway to Advanced Japanese textbook series.",BOOK,,,,,30.00,205,,,,,,,,,,,,,2022-08-06,1
book,TOBIRA,"MAYUMI (ET AL) OKA",MAYUMI,OKA,9784874244470,4874244475,"Japanese Text. Japanese learning book",kurosko,2009-01-01,,,,,,,,,,,,,,,,,,2022-08-06,1
book,"Genki: An Integrated Course in Elementary Japanese II [Second Edition]","Eri Banno",Eri,Banno,9784789014434,4789014436,"The Genki, Level 2 textbook continues learning for beginning students where Level 1 left off and furthers their education and practice in listening, speaking, reading, and writing skills.","Japan Times / Tsai Fong Books",2011-10-27,Japanese,"japanese, language, textbook","Outdated by 3rd edition",10.00,385,,,,,,,,,,,,,2022-08-06,1
book,"GENKI I: An Integrated Course in Elementary Japanese [With CDROM] [Second Edition]","Eri Banno, Yoko Ikeda, Yutaka Ohno",Eri,Banno,9784789014403,4789014401,"Second edition of the most highly regarded teaching text book on the Japanese language, covering speaking, listening, reading, and writing to cultivate overall language ability. Each lesson in the revised edition features a new section dubbed Culture Notes,"" and now includes the audio CD companion which is in mp3 format ready to install on any music player. In Japanese/English. Distributed by Tsai Fong Books, Inc.","Japan Times/Tsai Fong Books",2011-02-10,Japanese,"japanese, language, textbook","Outdated by 3rd edition",10.00,382,,,,,,,,,,,,,2022-08-06,1
book,"Integrated Chinese: Level 1, Part 2","Tao-Chung Yao, Yuehua Liu, Nyan-Ping Bi, Yea-fen Chen, Liangyan Ge, Jeffrey J. Hayden, Yaohua Shi, Xiaojun Wang",Tao-Chung,Yao,9780887274763,0887274765,"Second part of two book series. Simplified version.","Cheng &amp; Tsui Company",2005-01-01,Chinese,"chinese, language, textbook","Outdated by 3rd edition (2008) and 4th.",10.00,,,,,,,,,,,,,,2022-08-06,1
book,"Integrated Chinese Level 1 Pt. 1, 2nd Ed. Textbook: Simplified Character Edition","Tao-Chung Yao, Yuehua Liu, Liangyan Ge, Yea-Fen Chen, Nyan-Ping Bi, Xiaojun Wang",Tao-Chung,Yao,9780887274602,0887274609,"Since its release, Integrated Chinese has become the leading introductory Chinese textbook at colleges and universities around the world. The course works because it provides coordinated practice in all four language skills: listening, speaking, reading, and writing. Integrated Chinese helps learners understand how the Chinese language functions grammatically, and how to use Chinese in real life--how to understand it on the street, speak it on the telephone, read it in the newspaper, or write it in a report. Now this completely expanded and revised second edition contains updated, contemporary situations, new cultural notes, student-friendly grammar explanations, and an exciting new two-color design that makes learning and teaching even easier!","Cheng & Tsui",2005-06-30,Chinese,"chinese, language, textbook","Outdated by 3rd edition (2008) and 4th.",10.00,332,,,,,,,,,,,,,2022-08-06,1
book,"Florentine Codex: Book 1: The Gods","Bernardino de Sahagun",Bernardino,Sahagun,9781607811572,160781157X,,"University of Utah Press",2012-03-15,,"history, latam, primary source",,30.00,89,,,,,,,,,,,,,2022-08-06,1
book,"Florentine Codex: Book 2: The Ceremonies","Bernardino de Sahagun",Bernardino,Sahagun,9781607811589,1607811588,"Two of the world’s leading scholars of the Aztec language and culture have translated Sahagún’s monumental and encyclopedic study of native life in Mexico at the time of the Spanish Conquest. This immense undertaking is the first complete translation into any language of Sahagún’s Nahuatl text, and represents one of the most distinguished contributions in the fields of anthropology, ethnography, and linguistics.Written between 1540 and 1585, the Florentine Codex (so named because the manuscript has been part of the Laurentian Library’s collections since at least 1791) is the most authoritative statement we have of the Aztecs’ lifeways and traditions—a rich and intimate yet panoramic view of a doomed people.The Florentine Codex is divided by subject area into twelve books and includes over 2,000 illustrations drawn by Nahua artists in the sixteenth century.Book Two gives comprehensive accounts of the religious ceremonies and days of feasting during the time of the Aztecs, including prayers, songs, and the duties and roles of Aztecs inside the temples during the ceremonies. This book also details the various tributes and sacrifices given to specific gods.","University of Utah Press",2012-03-15,,"history, latam, primary source",,30.00,256,,,,,,,,,,,,,2022-08-06,1
book,"The Anxiety and Phobia Workbook","Edmund Bourne PhD",Edmund,PhD,9781626252158,1626252157,"Now in its sixth edition and recommended by therapists worldwide, The Anxiety and Phobia Workbook has been the unparalleled, essential resource for people struggling with anxiety and phobias for almost thirty years. Living with anxiety, panic disorders, or phobias can make you feel like you aren’t in control of your life. If you’re ready to tackle the fears that hold you back, this book is your go-to guide. Packed with the most effective skills for assessing and treating anxiety, this evidence-based workbook contains the latest clinical research. You’ll develop a full arsenal of skills for quieting fears and taking charge of your anxious thoughts, including: Relaxation and breathing techniques Ending negative self-talk and mistaken beliefs Imagery and real-life desensitization Lifestyle, nutrition, and exercise changes Written by a leading expert in cognitive behavioral therapy (CBT) and a classic in its field, this fully revised edition offers powerful, step-by-step treatment strategies for panic disorders, agoraphobia, generalized anxiety disorder (GAD), obsessive-compulsive disorder (OCD), post-traumatic stress disorder (PTSD), worry, and fear. You will also find updated information compatible with the DSM-V, as well as current information on medications and treatment, nutrition, mindfulness training, exposure therapy, and the latest research in neurobiology. Whether you suffer from anxiety and phobias yourself, or are a professional working with this population, this book will provide the latest treatment solutions for overcoming the fears that stand in the way of living a full, happy life. This workbook can be used on its own or as a supplement to therapy.","New Harbinger Publications",2015-03-01,Science,"nonfiction, psychology, science","Outdated as of 7th edition - 2020",10.00,488,,,,,,,,,,,,,2022-08-06,1
book,"Secret of Mana Official Game Secrets","Rusel Demaria",Rusel,Demaria,9781559584654,1559584653,"The Ultima series is the best selling and most popular rule playing game (RPG) series ever. The Ultima Collection is a history of the RPG genre all in one anthology Our book provides complete walkthoughs for Akalabeth, all 9 games of the Ultima series, and the Silver seed and Forge of Virtue expansion packs.","Prima Publishing",1993-11-15,"Video Games","guide, video game","Heavily used",20.00,176,,,,,,,,,,,,,2022-08-06,1
book,"SPORE: Official Game Guide","David S.J. Hodgson",David,Hodgson,9780761557807,,,,2008-01-01,"Video Games","guide, video game","Heavily used",5.00,205,,,,,,,,,,,,,2022-08-06,1
book,Algorithms,"Richard Johnsonbaugh, Marcus Schaefer",Richard,Johnsonbaugh,9780023606922,0023606924,"Filling the void left by other algorithms books, Algorithms and Data Structures provides an approach that emphasizes design techniques. The volume includes application of algorithms, examples, end-of-section exercises, end-of-chapter exercises, hints and solutions to selected exercises, figures and notes to help the reader master the design and analysis of algorithms.   This volume covers data structures, searching techniques, divided-and-conquer sorting and selection, greedy algorithms, dynamic programming, text searching, computational algebra, P and NP and parallel algorithms.   For those interested in a better understanding of algorithms.","Prentice Hall",2003-08-10,CS,"computer science, textbook",,15.00,768,,,,,,,,,,,,,2022-08-06,1
